Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,2,Fuerza Regida,277,36281436,0.08%
2,1,YoungBoy Never Broke Again,431,34585205,-0.1%
3,6,Morgan Wallen,266,31788419,0.1%
4,4,Bad Bunny,406,30271018,0.02%
5,5,Drake,448,29074455,-0.02%
6,3,Kendrick Lamar,425,28818403,-0.04%
7,7,Peso Pluma,135,26407130,-0.01%
8,8,Future,451,24816574,-0.02%
9,9,Rod Wave,291,22248767,-0.03%
10,11,The Weeknd,451,22220167,0.02%
11,10,Lil Baby,389,21768655,0%
12,12,Eminem,451,21385764,-0.01%
13,13,Kevin Gates,451,19811364,-0.05%
14,15,Chris Brown,451,19005775,-0.03%
15,14,Bruno Mars,450,18938846,-0.04%
16,22,Lil Wayne,451,18758915,0.05%
17,16,Lil Durk,383,18714635,-0.03%
18,19,Tito Double P,79,18022422,-0.02%
19,18,Jelly Roll,272,18009168,-0.02%
20,17,Lady Gaga,345,17722479,-0.05%
21,21,Juice WRLD,367,17601887,-0.02%
22,38,KAROL G,351,17481172,0.42%
23,20,Neton Vega,58,17398091,-0.04%
24,25,Luis R Conriquez,216,17268103,0.06%
25,23,Taylor Swift,451,16602063,-0.02%
26,24,Junior H,240,15748014,-0.04%
27,27,SZA,297,15428537,0.01%
28,26,BigXthaPlug,118,15364379,-0.02%
29,28,Billie Eilish,365,14734969,0.01%
30,30,Kodak Black,440,13831162,-0.01%
31,31,Post Malone,434,13611877,0.02%
32,29,Anuel AA,357,13374740,-0.05%
33,n/a,Sleep Token,31,13282776,n/a
34,32,Grupo Frontera,140,13221296,0.01%
35,46,Grupo Firme,262,12997972,0.16%
36,34,Los Temerarios,309,12855161,0.01%
37,33,Rauw Alejandro,265,12772526,0%
38,37,2Pac,446,12714636,0.03%
39,36,Luke Combs,371,12597910,0.01%
40,39,Linkin Park,416,12256979,0.01%
41,40,Moneybagg Yo,415,12172817,0.01%
42,41,Rihanna,451,12150359,0.02%
43,50,Vicente Fernández,413,11739736,0.08%
44,35,Julión Álvarez y su Norteño Banda,94,11707283,-0.07%
45,43,Ozuna,447,11513927,-0.01%
46,48,Carin Leon,239,11496508,0.04%
47,42,Beyoncé,451,11490309,-0.03%
48,44,Romeo Santos,451,11418759,0%
49,45,GloRilla,157,11179697,-0.02%
50,54,$uicideboy$,353,11174781,0.07%
51,52,Teddy Swims,87,10933031,0.03%
52,47,Ariana Grande,446,10764463,-0.04%
53,49,Natanael Cano,261,10759297,-0.02%
54,59,Kanye West,404,10668707,0.08%
55,51,Travis Scott,449,10506542,-0.02%
56,56,Playboi Carti,227,10458874,0.02%
57,55,Metro Boomin,307,10168057,-0.02%
58,62,Metallica,443,10136945,0.06%
59,60,Michael Jackson,451,9854911,0.01%
60,65,Farruko,344,9824786,0.06%
61,78,Los Tigres Del Norte,305,9794465,0.17%
62,58,J. Cole,370,9778066,-0.01%
63,53,Young Thug,447,9744699,-0.08%
64,64,Usher,433,9699494,0.02%
65,66,J Balvin,420,9541980,0.06%
66,61,Zach Bryan,160,9537591,0%
67,63,Tyler, The Creator,238,9352614,-0.02%
68,67,King Von,208,8819044,0%
69,68,Jessie Murph,84,8719356,0%
70,70,Ed Sheeran,436,8693444,0.01%
71,77,Los Tucanes de Tijuana,294,8664844,0.03%
72,57,Key Glock,235,8552316,-0.14%
73,71,Gabito Ballesteros,125,8525355,-0.01%
74,75,Jeezy,298,8507398,0.01%
75,76,Daddy Yankee,448,8486877,0.01%
76,87,BossMan Dlow,69,8461471,0.07%
77,79,Young Dolph,284,8434043,0.01%
78,69,Sabrina Carpenter,67,8367659,-0.03%
79,99,Forrest Frank,11,8363496,0.12%
80,74,50 Cent,304,8348986,-0.01%
81,97,Manuel Turizo,154,8331857,0.1%
82,72,PARTYNEXTDOOR,131,8324130,-0.02%
83,94,Shakira,356,8302426,0.09%
84,80,Benson Boone,69,8272135,0%
85,81,Myke Towers,299,8093915,-0.02%
86,82,Justin Bieber,421,7859010,-0.02%
87,86,Doja Cat,292,7827633,-0.01%
88,89,Nicki Minaj,451,7762940,0%
89,100,CLAVE ESPECIAL,32,7715778,0.03%
90,84,Gunna,356,7711162,-0.03%
91,96,Jason Aldean,375,7710382,0.02%
92,n/a,Aventura,254,7682518,n/a
93,91,Gucci Mane,451,7653024,-0.01%
94,85,Katy Perry,450,7643415,-0.04%
95,95,Shaboozey,56,7609420,0%
96,n/a,Don Omar,223,7603097,n/a
97,92,Banda MS de Sergio Lizárraga,436,7512292,-0.03%
98,73,Maroon 5,442,7476723,-0.12%
99,88,Wiz Khalifa,451,7453807,-0.05%
100,93,21 Savage,401,7437661,-0.03%
